category_code,brand01
microwaveoven,
Anil,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
furniture.kitchen.table,maestro
electronics.smartphone,apple
electronics.smartphone,apple
electronics.smartphone,apple
electronics.smartphone,apple
appliances.kitchen.refrigerators,lg
appliances.personal.scales,polaris
electronics.video.tv,samsung
computers.components.cpu,intel
computers.components.cpu,intel
computers.components.cpu,intel
,philips
computers.notebook,asus
,
,
computers.peripherals.monitor,samsung
computers.peripherals.monitor,samsung
computers.peripherals.printer,epson
computers.peripherals.printer,epson
computers.peripherals.printer,epson
,sbs
,sbs
electronics.smartphone,samsung
,geyzer
,geyzer
appliances.kitchen.kettle,tefal
electronics.smartphone,samsung
computers.components.memory,kingston
electronics.audio.headphone,huawei
electronics.audio.headphone,apple
electronics.smartphone,samsung
electronics.clocks,apple
electronics.video.tv,ava
electronics.video.tv,ava
,barjher
appliances.personal.scales,polaris
country_yard.weather_station,beurer
electronics.smartphone,samsung
appliances.kitchen.blender,polaris
,schwiizer
electronics.smartphone,samsung
electronics.smartphone,samsung
electronics.smartphone,samsung
appliances.personal.scales,scarlett
electronics.audio.headphone,apple
electronics.smartphone,apple
appliances.kitchen.refrigerators,caso
,samsung
electronics.smartphone,samsung
electronics.smartphone,nokia
electronics.smartphone,vivo
electronics.tablet,samsung
electronics.smartphone,huawei
accessories.bag,kingston
electronics.smartphone,samsung
electronics.video.tv,samsung
computers.peripherals.keyboard,
computers.peripherals.monitor,aoc
computers.peripherals.mouse,logitech
,
appliances.iron,tefal
appliances.kitchen.mixer,maxwell
computers.peripherals.mouse,logitech
,maxwell
computers.peripherals.mouse,
,maestro
appliances.kitchen.kettle,vitek
electronics.telephone,panasonic
electronics.smartphone,samsung
appliances.kitchen.meat_grinder,moulinex
electronics.audio.headphone,sony
,bork
,polaris
appliances.personal.hair_cutter,imetec
electronics.audio.headphone,panasonic
,sjcam
,maxwell
,
,braun
appliances.environment.air_heater,ava
,sony
computers.notebook,lenovo
,redmond
computers.peripherals.mouse,
electronics.smartphone,xiaomi
kids.skates,globber
appliances.kitchen.washer,samsung
appliances.kitchen.blender,
appliances.kitchen.meat_grinder,philips
furniture.kitchen.table,
furniture.kitchen.table,rondell
appliances.kitchen.microwave,samsung
appliances.kitchen.blender,polaris
,iqos
