title,brand,categories,manufacturer,department
Saucony Men's Kinvara 13 Running Shoe,Saucony,"[""Clothing, Shoes & Jewelry"",""Men"",""Shoes"",""Athletic"",""Running"",""Road Running""]",Saucony,mens
"Kishigo Premium Black Series Heavy Duty Unisex Reflective Safety Vest 1514, ANSI Type R / Class 2 Compliant, 6 Pockets - Pencil & Radio Pockets, Reflective Silver Lining & Black Trim (Orange, XL)",Kishigo,"[""Tools & Home Improvement"",""Safety & Security"",""Personal Protective Equipment"",""Protective Workwear"",""Safety Apparel"",""Vests""]",Kishigo,Unisex
"TWINSLUXES Solar Post Cap Lights Outdoor - Waterproof LED Fence Post Solar Lights for 3.5x3.5/4x4/5x5 Wood Posts in Patio, Deck or Garden Decoration 4 Pack",TWINSLUXES,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Outdoor Lighting"",""Post Lights""]",TWINSLUXES,Tools & Home Improvement
"Accutire MS-4021B Digital Tire Pressure Gauge with 4 Valve Caps, 5-150psi (psi, bar, kPa, kg/cm2)",Accutire,"[""Automotive"",""Tools & Equipment"",""Tire & Wheel Tools"",""Tire Repair Tools""]",Accutire,Automotive
SAURA LIFE SCIENCE Adivasi Ayurvedic Neelgiri Hair growth Hair Oil-250ML (2),SAURA LIFE SCIENCE,"[""Beauty"",""Hair Care"",""Hair Oils""]",SAURA LIFE SCIENCE - INDIA,Beauty
"KASOTT Replacement Airpod Pro Ear Tip Premium Memory Foam Earbud Tips, Perfect Noise Reduction, Ultra-Comfort, Anti-Slip Eartips, Fit in The Charging Case (Sizes M, 3 Pairs)",KASOTT,"[""Electronics"",""Headphones, Earbuds & Accessories"",""Earpads""]",DGHJSX,
"Bio-Oil Skincare Body Oil (Natural) Serum for Scars and Stretchmarks, Face and Body Moisturizer Hydrates Skin, with Organic Jojoba Oil and Vitamin E, For All Skin Types, 6.7 oz",Bio-Oil,"[""Beauty & Personal Care"",""Skin Care"",""Face"",""Creams & Moisturizers"",""Face Oil""]",Kao USA Inc.,Beauty & Personal Care
"crysting 13 Inch Sewing Box Three Layers, Plastic Craft Organizers and Storage, Multifunction Craft Box/Organizer Box/First Aid Box/Medicine Box/Tool Organizers and Storage with Lids",crysting,"[""Arts, Crafts & Sewing"",""Organization, Storage & Transport"",""Storage Boxes & Organizers""]",Crysting,
"Ridgid 62990 T-201 5"" Straight Auger",RIDGID,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Power Drill Parts & Accessories"",""Drill Bits"",""Auger Drill Bits""]",Ridgid,
Core 10 Women's All Day Comfort High-Waist Side-Pocket Yoga Legging,Core 10,"[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Active"",""Leggings""]",Core 10,womens
"Barney Butter Bare Smooth Almond Butter, No Added Sugar Or Salt, 0.6 Ounces (Pack Of 12)",Barney Butter,"[""Grocery & Gourmet Food"",""Pantry Staples"",""Nut & Seed Butters"",""Almond Butter""]",Barney Butter,Grocery & Gourmet Food
"Trucker Bluetooth Headsets, Wireless Headset with AI Environmental Noise Cancelling & Mute Microphone, Up to 30H Talk Time, 164ft Wireless Range, Bluetooth Over Ear Headphones for PC, Computer, Skype",EKSA,"[""Electronics"",""Headphones, Earbuds & Accessories"",""Headphones & Earbuds"",""On-Ear Headphones""]",EKSA,
"LOOGU Desert Netting Scarf Tactical Miliary Camo Mesh Scarves for Men and Women Wraps ideal for Wargame, Sports & Other Outdoor Activities",LOOGU,"[""Women"",""Accessories"",""Scarves & Wraps""]",LOOGU,Women
"PULOTE 100PCS Pink Plastic Plates - Heavy Duty Pink Disposable Plates - Pink and Gold Plastic Plates Include 50PCS Pink Dinner Plates, 50PCS Pink Dessert Plates for Party&Wedding",PULOTE,"[""Health & Household"",""Household Supplies"",""Paper & Plastic"",""Disposable Plates, Bowls & Cutlery"",""Plates""]",PULOTE,Health & Household
"Stahlwille 96410704 Double Ended Ring Wrench Set Corona, 6mm x 7mm to 20mm x 22mm, Shallow Offset, Chrome Alloy Steel, Chrome Plated, No.23/8, 8 pcs",Stahlwille,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Hand Tools"",""Wrenches"",""Socket Wrenches""]",Stahlwille,
"2Packs 18V Battery and Charger Combo for 18-Volt Cordless Tools Battery and P118B Charger, Cell9102 18V Battery Capacity Output 3.0Ah",Cell9102,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Battery Packs & Chargers"",""Battery Packs""]",Cell9102,
"General Tools 3-Pack Retractable Utility Knife WS-1201, Snap-Off Blade, Lightweight Box Cutter, 9mm, Yellow , Grey",General Tools,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Hand Tools"",""Knives, Parts & Accessories"",""Knives"",""Utility Knives""]",General Tools,
"DANIEL SMITH Extra Fine Watercolor Paint, 15ml Tube, Iridescent Antique Copper, 284640009",DANIEL SMITH,"[""Arts, Crafts & Sewing"",""Painting, Drawing & Art Supplies"",""Painting"",""Paints""]",Daniel Smith,
"NZND Case for At&t Motivate 3 (3rd Version)/ Motivate 2 (2nd)/ Cricket Icon 3/ Cricket Splendor with Tempered Glass Screen Protector, Ring Holder/Wrist Strap, Glitter Liquid Cute Case (Pink/Aqua)",NZND,"[""Cell Phones & Accessories"",""Cases, Holsters & Sleeves"",""Basic Cases""]",NZND,
"Braun SE5-895 Epilator, Hair Removal Device, Epilator for Women, Includes Shaver and Facial Cleansing Exfoliator Brush Attachments, Waterproof, Cordless and Rechargeable",Braun,"[""Beauty & Personal Care"",""Shave & Hair Removal"",""Women's"",""Epilators, Groomers & Trimmers"",""Epilators""]",Procter & Gamble,Beauty & Personal Care
Aqua Select Resin Step in a Box White | Ultra Sturdy Steps,Aqua Select,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Parts & Accessories"",""Slides, Ladders & Diving Boards"",""Pool Ladders""]",Aqua Select,"Patio, Lawn & Garden"
Swanson Raw Multi-Glandular for Men 60 Capsules,Swanson,"[""Health & Household"",""Vitamins, Minerals & Supplements"",""Vitamins"",""Multivitamins""]",‏  ‎ Swanson Premium,
Dingo Mens Dean Harness Pull On Casual Boots Mid Calf - Black,Dingo,"[""Clothing, Shoes & Jewelry"",""Boot Shop"",""Men"",""Fashion"",""Western""]",Dingo,mens
Nature's Answer Echinacea Alcohol Free Extract 1 Fluid Ounce | Promotes Overall Wellness | Natural Immune Booster | Inflammatory Reducer,Nature's Answer,"[""Health & Household"",""Vitamins, Minerals & Supplements"",""Herbal Supplements"",""Echinacea""]",‏  ‎ Nature's Answer,‏  ‎ Health and Beauty>Health and Wellness
"FTL GU10 Led Bulb 5000K Daylight White Dimmable Spot Light 6W 600LM 50W Halogen Replacement Bulbs for Track Lighting, Ceiling Recessed Lighting, 6-Pack",FTL,"[""Tools & Home Improvement"",""Light Bulbs"",""LED Bulbs""]",FTL,
